,Topic,Sentiment Score,Source,Keywords,Subjectivity Score
85,19.0,0.2,Fox,"show, one, story, like, time, life, first, book, world, new",0.543
86,7.0,0.168,Fox,"car, india, vehicle, driver, electric, lightning, indian, climber, company, industry",0.431
87,17.0,0.306,Fox,"party, candidate, political, vote, election, brexit, leader, campaign, conservative, would",0.477
88,11.0,0.038,Fox,"said, police, killed, according, told, war, people, family, prison, two",0.387
89,2.0,0.113,Fox,"said, n’t, would, say, like, people, one, get, time, know",0.549
90,2.0,0.297,Fox,"said, n’t, would, say, like, people, one, get, time, know",0.617
91,2.0,0.253,Fox,"said, n’t, would, say, like, people, one, get, time, know",0.742
92,7.0,0.143,Fox,"car, india, vehicle, driver, electric, lightning, indian, climber, company, industry",0.383
93,19.0,0.171,Fox,"show, one, story, like, time, life, first, book, world, new",0.394
94,17.0,0.06,Fox,"party, candidate, political, vote, election, brexit, leader, campaign, conservative, would",0.245
95,10.0,0.15,Fox,"china, chinese, military, iran, world, u.s., said, country, war, beijing",0.324
96,2.0,0.242,Fox,"said, n’t, would, say, like, people, one, get, time, know",0.451
97,11.0,0.175,Fox,"said, police, killed, according, told, war, people, family, prison, two",0.331
98,2.0,-0.022,Fox,"said, n’t, would, say, like, people, one, get, time, know",0.51
99,22.0,-0.075,Fox,"state, law, abortion, bill, woman, biden, republican, right, primary, democrat",0.345
100,12.0,0.145,Fox,"trump, president, said, official, n’t, would, also, u.s., former, mueller",0.348
101,12.0,0.015,Fox,"trump, president, said, official, n’t, would, also, u.s., former, mueller",0.352
102,12.0,0.28,Fox,"trump, president, said, official, n’t, would, also, u.s., former, mueller",0.411
103,2.0,0.232,Fox,"said, n’t, would, say, like, people, one, get, time, know",0.474
104,1.0,0.105,Fox,"u.s., mexico, trump, said, tariff, american, would, administration, republican, plan",0.352
105,16.0,0.169,Fox,"year, also, could, may, new, many, one, business, system, use",0.485
106,2.0,0.021,Fox,"said, n’t, would, say, like, people, one, get, time, know",0.458
107,11.0,-0.031,Fox,"said, police, killed, according, told, war, people, family, prison, two",0.328
108,4.0,0.063,Fox,"company, apple, data, facebook, google, user, privacy, technology, video, information",0.498
109,5.0,-0.031,Fox,"year, city, say, home, people, one, time, day, two, many",0.359
110,15.0,0.188,Fox,"game, team, player, first, win, season, year, sport, final, woman",0.452
111,5.0,0.014,Fox,"year, city, say, home, people, one, time, day, two, many",0.352
112,15.0,0.053,Fox,"game, team, player, first, win, season, year, sport, final, woman",0.339
113,11.0,-0.04,Fox,"said, police, killed, according, told, war, people, family, prison, two",0.212
114,15.0,0.181,Fox,"game, team, player, first, win, season, year, sport, final, woman",0.382
115,12.0,0.199,Fox,"trump, president, said, official, n’t, would, also, u.s., former, mueller",0.566
116,4.0,0.051,Fox,"company, apple, data, facebook, google, user, privacy, technology, video, information",0.439
117,16.0,0.062,Fox,"year, also, could, may, new, many, one, business, system, use",0.403
118,2.0,0.039,Fox,"said, n’t, would, say, like, people, one, get, time, know",0.425
119,7.0,0.094,Fox,"car, india, vehicle, driver, electric, lightning, indian, climber, company, industry",0.301
120,5.0,0.192,Fox,"year, city, say, home, people, one, time, day, two, many",0.488
121,2.0,-0.215,Fox,"said, n’t, would, say, like, people, one, get, time, know",0.396
122,2.0,0.229,Fox,"said, n’t, would, say, like, people, one, get, time, know",0.581
123,1.0,0.138,Fox,"u.s., mexico, trump, said, tariff, american, would, administration, republican, plan",0.451
124,9.0,-0.044,Fox,"church, pastor, macron, band, woodson, kabul, wartburg_watch, mr._erickson, survivor, soviet",0.371
125,13.0,0.182,Fox,"oxford, race, north_korea, slate, north_korean, merkel, south_korean, contract, korean, poland",0.601
126,11.0,0.027,Fox,"said, police, killed, according, told, war, people, family, prison, two",0.447
127,2.0,-0.051,Fox,"said, n’t, would, say, like, people, one, get, time, know",0.531
128,19.0,0.019,Fox,"show, one, story, like, time, life, first, book, world, new",0.427
129,2.0,0.167,Fox,"said, n’t, would, say, like, people, one, get, time, know",0.476
130,19.0,0.206,Fox,"show, one, story, like, time, life, first, book, world, new",0.485
131,5.0,0.17,Fox,"year, city, say, home, people, one, time, day, two, many",0.577
132,2.0,0.14,Fox,"said, n’t, would, say, like, people, one, get, time, know",0.581
133,21.0,0.074,Fox,"said, health, study, research, food, fda, science, drug, found, treatment",0.416
134,12.0,0.038,Fox,"trump, president, said, official, n’t, would, also, u.s., former, mueller",0.364
135,21.0,0.102,Fox,"said, health, study, research, food, fda, science, drug, found, treatment",0.405
136,11.0,0.045,Fox,"said, police, killed, according, told, war, people, family, prison, two",0.593
137,16.0,0.094,Fox,"year, also, could, may, new, many, one, business, system, use",0.464
138,2.0,0.3,Fox,"said, n’t, would, say, like, people, one, get, time, know",0.596
139,22.0,0.126,Fox,"state, law, abortion, bill, woman, biden, republican, right, primary, democrat",0.427
140,10.0,0.294,Fox,"china, chinese, military, iran, world, u.s., said, country, war, beijing",0.538
141,5.0,0.242,Fox,"year, city, say, home, people, one, time, day, two, many",0.439
142,11.0,0.17,Fox,"said, police, killed, according, told, war, people, family, prison, two",0.322
143,2.0,0.066,Fox,"said, n’t, would, say, like, people, one, get, time, know",0.427
144,11.0,0.123,Fox,"said, police, killed, according, told, war, people, family, prison, two",0.439
145,11.0,-0.164,Fox,"said, police, killed, according, told, war, people, family, prison, two",0.313
146,11.0,0.033,Fox,"said, police, killed, according, told, war, people, family, prison, two",0.262
147,2.0,0.39,Fox,"said, n’t, would, say, like, people, one, get, time, know",0.5
148,22.0,0.092,Fox,"state, law, abortion, bill, woman, biden, republican, right, primary, democrat",0.269
149,12.0,0.25,Fox,"trump, president, said, official, n’t, would, also, u.s., former, mueller",0.333
150,15.0,0.25,Fox,"game, team, player, first, win, season, year, sport, final, woman",0.333
151,12.0,0.09,Fox,"trump, president, said, official, n’t, would, also, u.s., former, mueller",0.209
152,14.0,0.375,Fox,"student, school, university, college, education, high_school, class, child, teacher, black",0.875
153,20.0,0.0,Fox,"queen, club, white, sherpa, virginia_beach, performance, red, night, taylor, jackson",0.167
154,2.0,0.042,Fox,"said, n’t, would, say, like, people, one, get, time, know",0.348
155,2.0,0.145,Fox,"said, n’t, would, say, like, people, one, get, time, know",0.379
156,12.0,0.05,Fox,"trump, president, said, official, n’t, would, also, u.s., former, mueller",0.067
157,10.0,0.089,Fox,"china, chinese, military, iran, world, u.s., said, country, war, beijing",0.312
158,12.0,0.0,Fox,"trump, president, said, official, n’t, would, also, u.s., former, mueller",0.0
159,2.0,0.098,Fox,"said, n’t, would, say, like, people, one, get, time, know",0.297
160,2.0,0.329,Fox,"said, n’t, would, say, like, people, one, get, time, know",0.631
161,12.0,0.192,Fox,"trump, president, said, official, n’t, would, also, u.s., former, mueller",0.325
162,12.0,0.0,Fox,"trump, president, said, official, n’t, would, also, u.s., former, mueller",0.0
163,18.0,0.153,Fox,"woman, boling, white, cook, souffle, black, egg, recipe, cheese, dish",0.522
164,1.0,0.05,Fox,"u.s., mexico, trump, said, tariff, american, would, administration, republican, plan",0.45
165,19.0,-0.167,Fox,"show, one, story, like, time, life, first, book, world, new",0.433
166,19.0,0.161,Fox,"show, one, story, like, time, life, first, book, world, new",0.432
167,2.0,0.0,Fox,"said, n’t, would, say, like, people, one, get, time, know",0.525
168,18.0,-0.018,Fox,"woman, boling, white, cook, souffle, black, egg, recipe, cheese, dish",0.48
169,5.0,0.6,Fox,"year, city, say, home, people, one, time, day, two, many",1.0
170,11.0,-0.054,Fox,"said, police, killed, according, told, war, people, family, prison, two",0.482
171,2.0,0.122,Fox,"said, n’t, would, say, like, people, one, get, time, know",0.402
172,12.0,0.033,Fox,"trump, president, said, official, n’t, would, also, u.s., former, mueller",0.033
173,7.0,0.056,Fox,"car, india, vehicle, driver, electric, lightning, indian, climber, company, industry",0.361
174,19.0,0.204,Fox,"show, one, story, like, time, life, first, book, world, new",0.499
175,12.0,0.136,Fox,"trump, president, said, official, n’t, would, also, u.s., former, mueller",0.455
176,2.0,0.117,Fox,"said, n’t, would, say, like, people, one, get, time, know",0.424
177,19.0,0.223,Fox,"show, one, story, like, time, life, first, book, world, new",0.354
178,1.0,-0.062,Fox,"u.s., mexico, trump, said, tariff, american, would, administration, republican, plan",0.237
179,17.0,0.042,Fox,"party, candidate, political, vote, election, brexit, leader, campaign, conservative, would",0.217
180,22.0,0.157,Fox,"state, law, abortion, bill, woman, biden, republican, right, primary, democrat",0.438
181,1.0,0.128,NPR,"u.s., mexico, trump, said, tariff, american, would, administration, republican, plan",0.351
182,19.0,0.13,NPR,"show, one, story, like, time, life, first, book, world, new",0.496
183,11.0,0.128,NPR,"said, police, killed, according, told, war, people, family, prison, two",0.401
184,19.0,0.064,NPR,"show, one, story, like, time, life, first, book, world, new",0.382
185,2.0,0.021,NPR,"said, n’t, would, say, like, people, one, get, time, know",0.384
186,12.0,0.026,NPR,"trump, president, said, official, n’t, would, also, u.s., former, mueller",0.369
187,2.0,0.015,NPR,"said, n’t, would, say, like, people, one, get, time, know",0.394
188,5.0,0.136,NPR,"year, city, say, home, people, one, time, day, two, many",0.297
189,5.0,0.09,NPR,"year, city, say, home, people, one, time, day, two, many",0.417
190,2.0,0.071,NPR,"said, n’t, would, say, like, people, one, get, time, know",0.353
191,22.0,0.1,NPR,"state, law, abortion, bill, woman, biden, republican, right, primary, democrat",0.415
192,2.0,0.128,NPR,"said, n’t, would, say, like, people, one, get, time, know",0.44
193,19.0,0.167,NPR,"show, one, story, like, time, life, first, book, world, new",0.478
194,6.0,0.268,NPR,"parson, card, nader, hide_caption_photo_wonder, ice, restaurant, gas, hail, simpson, new_orleans",0.54
195,5.0,0.032,NPR,"year, city, say, home, people, one, time, day, two, many",0.428
196,17.0,-0.194,NPR,"party, candidate, political, vote, election, brexit, leader, campaign, conservative, would",0.523
197,2.0,0.168,NPR,"said, n’t, would, say, like, people, one, get, time, know",0.517
198,21.0,0.071,NPR,"said, health, study, research, food, fda, science, drug, found, treatment",0.463
199,21.0,0.103,NPR,"said, health, study, research, food, fda, science, drug, found, treatment",0.47
200,21.0,0.092,NPR,"said, health, study, research, food, fda, science, drug, found, treatment",0.49
201,16.0,0.051,NPR,"year, also, could, may, new, many, one, business, system, use",0.415
202,16.0,0.211,NPR,"year, also, could, may, new, many, one, business, system, use",0.502
203,19.0,0.225,NPR,"show, one, story, like, time, life, first, book, world, new",0.468
204,14.0,0.099,NPR,"student, school, university, college, education, high_school, class, child, teacher, black",0.344
205,17.0,0.098,NPR,"party, candidate, political, vote, election, brexit, leader, campaign, conservative, would",0.324
206,2.0,0.007,NPR,"said, n’t, would, say, like, people, one, get, time, know",0.52
207,19.0,0.148,NPR,"show, one, story, like, time, life, first, book, world, new",0.552
208,16.0,0.096,NPR,"year, also, could, may, new, many, one, business, system, use",0.514
209,16.0,0.121,NPR,"year, also, could, may, new, many, one, business, system, use",0.448
210,19.0,0.02,NPR,"show, one, story, like, time, life, first, book, world, new",0.532
211,19.0,0.127,NPR,"show, one, story, like, time, life, first, book, world, new",0.401
212,19.0,0.15,NPR,"show, one, story, like, time, life, first, book, world, new",0.482
213,2.0,0.109,NPR,"said, n’t, would, say, like, people, one, get, time, know",0.509
214,2.0,0.066,NPR,"said, n’t, would, say, like, people, one, get, time, know",0.434
215,19.0,0.082,NPR,"show, one, story, like, time, life, first, book, world, new",0.454
216,16.0,0.23,NPR,"year, also, could, may, new, many, one, business, system, use",0.496
217,19.0,0.052,NPR,"show, one, story, like, time, life, first, book, world, new",0.355
218,19.0,0.11,NPR,"show, one, story, like, time, life, first, book, world, new",0.482
219,20.0,0.1,NPR,"queen, club, white, sherpa, virginia_beach, performance, red, night, taylor, jackson",0.422
220,12.0,0.212,NPR,"trump, president, said, official, n’t, would, also, u.s., former, mueller",0.464
221,2.0,0.139,NPR,"said, n’t, would, say, like, people, one, get, time, know",0.527
222,2.0,0.165,NPR,"said, n’t, would, say, like, people, one, get, time, know",0.456
223,11.0,0.136,NPR,"said, police, killed, according, told, war, people, family, prison, two",0.332
224,22.0,0.085,NPR,"state, law, abortion, bill, woman, biden, republican, right, primary, democrat",0.401
225,16.0,0.102,NPR,"year, also, could, may, new, many, one, business, system, use",0.343
226,16.0,0.143,NPR,"year, also, could, may, new, many, one, business, system, use",0.438
227,2.0,0.189,NPR,"said, n’t, would, say, like, people, one, get, time, know",0.497
228,16.0,-0.05,NPR,"year, also, could, may, new, many, one, business, system, use",0.283
229,12.0,0.073,NPR,"trump, president, said, official, n’t, would, also, u.s., former, mueller",0.343
230,2.0,0.088,NPR,"said, n’t, would, say, like, people, one, get, time, know",0.381
231,2.0,0.046,NPR,"said, n’t, would, say, like, people, one, get, time, know",0.401
232,16.0,0.14,NPR,"year, also, could, may, new, many, one, business, system, use",0.462
233,6.0,0.092,NPR,"parson, card, nader, hide_caption_photo_wonder, ice, restaurant, gas, hail, simpson, new_orleans",0.444
234,21.0,0.079,NPR,"said, health, study, research, food, fda, science, drug, found, treatment",0.481
235,2.0,0.074,NPR,"said, n’t, would, say, like, people, one, get, time, know",0.473
236,5.0,0.095,NPR,"year, city, say, home, people, one, time, day, two, many",0.435
237,11.0,-0.0,NPR,"said, police, killed, according, told, war, people, family, prison, two",0.324
238,5.0,0.102,NPR,"year, city, say, home, people, one, time, day, two, many",0.495
239,1.0,0.031,NPR,"u.s., mexico, trump, said, tariff, american, would, administration, republican, plan",0.409
240,11.0,-0.009,NPR,"said, police, killed, according, told, war, people, family, prison, two",0.42
241,12.0,0.064,NPR,"trump, president, said, official, n’t, would, also, u.s., former, mueller",0.411
242,16.0,0.087,NPR,"year, also, could, may, new, many, one, business, system, use",0.42
243,2.0,0.179,NPR,"said, n’t, would, say, like, people, one, get, time, know",0.492
244,2.0,0.122,NPR,"said, n’t, would, say, like, people, one, get, time, know",0.403
245,16.0,0.084,NPR,"year, also, could, may, new, many, one, business, system, use",0.472
246,21.0,0.132,NPR,"said, health, study, research, food, fda, science, drug, found, treatment",0.481
247,5.0,0.146,NPR,"year, city, say, home, people, one, time, day, two, many",0.419
248,16.0,0.16,NPR,"year, also, could, may, new, many, one, business, system, use",0.469
249,2.0,0.248,NPR,"said, n’t, would, say, like, people, one, get, time, know",0.509
250,8.0,0.067,NPR,"court, june, case, holzhauer, boteach, israel, document, attorney, judge, federal",0.383
251,20.0,0.11,NPR,"queen, club, white, sherpa, virginia_beach, performance, red, night, taylor, jackson",0.343
252,15.0,0.061,NPR,"game, team, player, first, win, season, year, sport, final, woman",0.494
253,2.0,0.14,NPR,"said, n’t, would, say, like, people, one, get, time, know",0.43
254,2.0,0.075,NPR,"said, n’t, would, say, like, people, one, get, time, know",0.357
255,2.0,0.116,NPR,"said, n’t, would, say, like, people, one, get, time, know",0.46
256,15.0,0.09,NPR,"game, team, player, first, win, season, year, sport, final, woman",0.447
257,16.0,0.15,NPR,"year, also, could, may, new, many, one, business, system, use",0.496
258,12.0,0.074,NPR,"trump, president, said, official, n’t, would, also, u.s., former, mueller",0.442
259,17.0,0.29,NPR,"party, candidate, political, vote, election, brexit, leader, campaign, conservative, would",0.614
260,20.0,0.122,NPR,"queen, club, white, sherpa, virginia_beach, performance, red, night, taylor, jackson",0.352
261,21.0,0.093,NPR,"said, health, study, research, food, fda, science, drug, found, treatment",0.378
262,2.0,0.104,NPR,"said, n’t, would, say, like, people, one, get, time, know",0.39
263,22.0,0.129,NPR,"state, law, abortion, bill, woman, biden, republican, right, primary, democrat",0.415
264,5.0,0.292,NPR,"year, city, say, home, people, one, time, day, two, many",0.385
265,2.0,0.196,NPR,"said, n’t, would, say, like, people, one, get, time, know",0.47
266,8.0,0.141,NPR,"court, june, case, holzhauer, boteach, israel, document, attorney, judge, federal",0.433
267,8.0,0.075,NPR,"court, june, case, holzhauer, boteach, israel, document, attorney, judge, federal",0.47
268,2.0,0.117,NPR,"said, n’t, would, say, like, people, one, get, time, know",0.422
269,16.0,0.122,NPR,"year, also, could, may, new, many, one, business, system, use",0.365
270,16.0,0.086,NPR,"year, also, could, may, new, many, one, business, system, use",0.421
271,2.0,0.061,NPR,"said, n’t, would, say, like, people, one, get, time, know",0.33
272,20.0,0.09,NPR,"queen, club, white, sherpa, virginia_beach, performance, red, night, taylor, jackson",0.38
273,16.0,0.092,NPR,"year, also, could, may, new, many, one, business, system, use",0.442
274,21.0,0.066,NPR,"said, health, study, research, food, fda, science, drug, found, treatment",0.404
275,17.0,0.066,NPR,"party, candidate, political, vote, election, brexit, leader, campaign, conservative, would",0.374
276,16.0,0.074,NPR,"year, also, could, may, new, many, one, business, system, use",0.464
277,2.0,0.053,NPR,"said, n’t, would, say, like, people, one, get, time, know",0.424
278,2.0,0.093,NPR,"said, n’t, would, say, like, people, one, get, time, know",0.389
279,16.0,0.062,NPR,"year, also, could, may, new, many, one, business, system, use",0.42
280,21.0,0.108,NPR,"said, health, study, research, food, fda, science, drug, found, treatment",0.461
281,2.0,0.099,NPR,"said, n’t, would, say, like, people, one, get, time, know",0.352
282,16.0,0.063,NPR,"year, also, could, may, new, many, one, business, system, use",0.383
283,10.0,0.099,NPR,"china, chinese, military, iran, world, u.s., said, country, war, beijing",0.371
284,16.0,0.078,NPR,"year, also, could, may, new, many, one, business, system, use",0.424
285,16.0,0.115,NPR,"year, also, could, may, new, many, one, business, system, use",0.571
286,2.0,0.11,NPR,"said, n’t, would, say, like, people, one, get, time, know",0.418
287,22.0,0.115,NPR,"state, law, abortion, bill, woman, biden, republican, right, primary, democrat",0.436
288,2.0,0.102,NPR,"said, n’t, would, say, like, people, one, get, time, know",0.436
289,5.0,0.068,NPR,"year, city, say, home, people, one, time, day, two, many",0.461
290,2.0,0.084,NPR,"said, n’t, would, say, like, people, one, get, time, know",0.496
291,2.0,0.049,NPR,"said, n’t, would, say, like, people, one, get, time, know",0.337
292,2.0,0.083,NPR,"said, n’t, would, say, like, people, one, get, time, know",0.397
293,21.0,0.197,NPR,"said, health, study, research, food, fda, science, drug, found, treatment",0.428
294,2.0,0.008,NPR,"said, n’t, would, say, like, people, one, get, time, know",0.437
295,5.0,0.059,NPR,"year, city, say, home, people, one, time, day, two, many",0.462
296,2.0,-0.027,NPR,"said, n’t, would, say, like, people, one, get, time, know",0.355
297,16.0,0.169,NPR,"year, also, could, may, new, many, one, business, system, use",0.59
298,2.0,0.084,NPR,"said, n’t, would, say, like, people, one, get, time, know",0.423
299,12.0,0.078,NPR,"trump, president, said, official, n’t, would, also, u.s., former, mueller",0.337
300,1.0,0.118,NPR,"u.s., mexico, trump, said, tariff, american, would, administration, republican, plan",0.346
301,16.0,-0.007,NPR,"year, also, could, may, new, many, one, business, system, use",0.44
302,16.0,0.101,NPR,"year, also, could, may, new, many, one, business, system, use",0.437
303,12.0,0.124,NPR,"trump, president, said, official, n’t, would, also, u.s., former, mueller",0.545
304,2.0,0.047,NPR,"said, n’t, would, say, like, people, one, get, time, know",0.521
305,16.0,0.062,NPR,"year, also, could, may, new, many, one, business, system, use",0.472
306,1.0,0.093,NPR,"u.s., mexico, trump, said, tariff, american, would, administration, republican, plan",0.355
307,16.0,0.093,NPR,"year, also, could, may, new, many, one, business, system, use",0.372
308,16.0,0.091,NPR,"year, also, could, may, new, many, one, business, system, use",0.357
309,11.0,-0.066,NPR,"said, police, killed, according, told, war, people, family, prison, two",0.325
310,1.0,0.031,NPR,"u.s., mexico, trump, said, tariff, american, would, administration, republican, plan",0.284
311,11.0,-0.046,NPR,"said, police, killed, according, told, war, people, family, prison, two",0.464
312,12.0,0.071,NPR,"trump, president, said, official, n’t, would, also, u.s., former, mueller",0.45
313,15.0,0.208,NPR,"game, team, player, first, win, season, year, sport, final, woman",0.415
314,11.0,0.141,NPR,"said, police, killed, according, told, war, people, family, prison, two",0.44
315,16.0,0.023,NPR,"year, also, could, may, new, many, one, business, system, use",0.312
316,19.0,-0.007,NPR,"show, one, story, like, time, life, first, book, world, new",0.346
317,2.0,0.143,NPR,"said, n’t, would, say, like, people, one, get, time, know",0.522
318,1.0,0.15,NPR,"u.s., mexico, trump, said, tariff, american, would, administration, republican, plan",0.493
319,2.0,0.057,NPR,"said, n’t, would, say, like, people, one, get, time, know",0.334
320,16.0,0.13,NPR,"year, also, could, may, new, many, one, business, system, use",0.435
321,16.0,0.085,NPR,"year, also, could, may, new, many, one, business, system, use",0.41
322,21.0,0.028,NPR,"said, health, study, research, food, fda, science, drug, found, treatment",0.385
